ROOT,EKUMENSKI,NATLANG ANCESTRY,AUXLANG ANCESTRY,PART OF SPEECH,ENGLISH
BLASTE,blaste,,,v.,blast
BLAT,blat,,,n.,cockroach
BLAU,blaueski,G,,adj.,blueish
BLAU,blaui,,,adj.,blue
BLED,bledi,S,,adj.,pale
BLED,blediske,,,v.,turn pale
BLED,blednis,,,n.,paleness
BLEF,blef,,,n.,bluff
BLEF,blefe,,,v.,bluff
BLEJZER,blejzer,,,n.,blazer
BLEK,blek,G,,n.,sheet metal
BLEKAUT,blekaut,,,n.,blackout
BLES,blese,G,,v.,bless
BLES,blesnis,,,n.,blessing
BLIC,blic,G,,n.,"lightning bolt, flash of lightning"
BLID,blid,,,n.,bowl
BLID,blidlet,,,n.,porringer
BLIK,blik,G,,n.,"look (act of looking, facial expression; cf. luk)"
BLIK,blike,,,v.,look
BLIK,done en blik,,,expr.,have a look
BLIND,blindi,G,,adj.,blind
BLIND,blindize,,,v.,dazzle
BLIND,blindnis,,,n.,blindness
BLOB,blob,G,,n.,blob
BLOG,blog,,,n.,blog
BLOG,bloge,,,v.,blog
BLOG,bloger,,,n.,blogger
BLOK,blok,,,n.,block
BLOK,bloke,,,v.,block
BLOT,blot,G,,n.,blot (> klex?)
BLUD,blud,G,,n.,blood
BLUD,blude,,,v.,bleed
BLUD,bludnis,,,n.,bleeding
BLUD,bludsiti,,,adj.,bloodthirsty
BLUMA,bluma,G,,n.,flower (cf. flor)
BLUMA,blumarija,,,n.,flower store/shop
BLUVE,bluve,,,v.,= vome
BLUZ,bluz,,,n.,blues
BLUZA,bluza,,,n.,blouse
BO,bo,S,,adv.,because
BOB,bob,,,n.,bob
BOB,bobslej,,,n.,bobsleigh
BOČ,boč,G,,n.,botch
BOČ,boče,,,v.,botch
BOJ,boj,G,,n.,boy
BOJC,bojc,G,,n.,pub
BOJKOT,bojkot,,,n.,boycott
BOJKOT,bojkote,,,v.,boycott
BOJL,bojle,G,,v.,boil
BOJL,bojlenti voda,,,n.,boiling water
BOJL,bojlpunt,,,n.,boiling point
BOK,bok,,(IN=),n.,mouth
BOK,bokdrap,,,n.,napkin
BOK,bokli,,,adj.,oral
BOK,boklim,,,adv.,orally
BOL,bol,,,n.,ball
BOLG,bolg,C,,n.,belly
BOLG,bolgdans,,,n.,belly dance
BOLOMETER,bolometer,,,n.,bolometer
BOLT,bolt,G,,n.,bolt
BOMB,bomb,,,n.,bomb
BOMB,bombatak,,,n.,bomb attack
BOMB,bombe,,,v.,bomb
BOMB,bomber,,,n.,bomber
BOND,bond,,,n.,bond (finance)
BOR,bor,,,n.,boron (chem. element)
BOR,bore,G,,v.,bore (make a hole)
BOR,"borer, bormašin",,,n.,drill (tool)
BOR,bornis,,,n.,"bore (result of drilling, e.g a hole); boring, drilling"
BORD,bord,,,n.,board (of a ship)
BORD,benventeni ad bord!,,,expr.,welcome on board!
BOS,bos,G,,n.,boss
BOT,bot,,,n.,bot
BOTA,bota,,,n.,boot
BOTANIK,botanik,,,n.,botany
BOTANIK,botaniker,,,n.,botanist
BOTOX,botox,,,n.,botox
BOX,"box, boxlet",,,n.,box
BOX,boxe,,,v.,box
BOX,boxer,,,n.,boxer
BRAKI,braki,G,,adj.,fallow
BRAKI,"brakia, brakland, braknis",,,n.,fallow
BRAMBER,bramber,G,,n.,blackberry
BRAN,bran,C,,n.,crow
BRANKIA,brankia,,,n.,gill
BRANŠ,branš,,,n.,branch
BRANŠ,branšlet,,,n.,bough
BRAS,bras,,,n.,arm (part of body; cf. arm)
BRASAR,brasar,,,n.,sleeve
BRAT,brat,S,,n.,brother
BRAT,bratli,,,adj.,brotherly
BRAT,bratnis,,,n.,brotherhood
BRAU,brau,G,,n.,brewage
BRAU,braue,,,v.,brew
BRAU,brauer,,,n.,brewer
BRAU,brauerija,,,n.,brewery
BRAUN,brauni,G,,adj.,brown
BRAUZ,brauze,G,,v.,browse (computer)
BRAV,bravi,,,adj.,brave
BRAV,bravnis,,,n.,bravery
BRE!,bre!,,,interj.,wow! hey!
BRECEL,brecel,G,,n.,pretzel
BRED,bredi,G,,adj.,broad
BRED,bredize,,,v.,broaden
BRED,brednis,,,n.,breadth
BREJN,brejn,G,,n.,brain
BREJN,brejnfurc,,,n.,brain-fart
BREJN,brejnlesi,,,adj.,brainless
BREJN,brejnmorti,,,adj.,brain-dead
BREJN,brejnvaš,,,n.,brainwashing
BREJN,brejnvaše,,,v.,brainwash
BREK,brek,G,,n.,fracture
BREK,"brekabli, brekivi",,,adj.,breakable
BREK,"brekablinis, brekivnis",,,n.,fragility
BREK,brekpjes,,,n.,fragment
BREK,brekpjesli,,,adj.,"fragmental, fragmentary"
BREMS,brems,G,,n.,brake
BREMS,bremse,,,v.,brake
BRET,bret,G,,n.,board (piece of wood)
BREZA,breza,S,,n.,birch
BRID,brid,,,n.,bridle
BRIDŽ,bridž,,,n.,bridge (game)
BRIG,brig,,,n.,brig
BRIGADA,brigada,,,n.,brigade
BRIK,brik,,,n.,brick
BRIL,bril,G,,n.,"glasses (eyeglasses, spectacles, goggle)"
BRILJ,brilje,,,v.,gleam
BRIZA,briza,,,n.,breeze (= vindlet?)
BROD,brod,G,,n.,bread
BROK,brok,S,,n.,"birdshot (very fine hunting shot), small shot charge"
BROK,brokskjop,,,n.,shotgun
BROM,brom,,,n.,bromine
BRONK,bronk,,,n.,bronchus
BRONK,bronkitis,,,n.,bronchitis
BRONS,brons,,,n.,bronze
BROS,bros,,,n.,brush
BROS,brose,,,v.,brush
BROŠ,broš,,,n.,brooch
BROVA,brova,"G,S",,n.,brow
BROŽ,brože,S,,v.,ferment
BROŽ,brožnis,,,n.,fermentation
BRUD,brud,S,,n.,dirt
BRUD,brudli,,,adj.,dirty
BRUK,bruk,G,,n.,"pant, breeches, trousers"
BRUNCE,brunce,G,,v.,pee
BRUSK,bruski,,,adj.,brusque
BRUSK,brusknis,,,n.,brusqueness
BRUST,brust,G,(UG=),n.,"breast, chest"
BRUST,brustvest,,,n.,waistcoat
BRUTAL,brutali,,,adj.,brutal
BRUTAL,brutalize,,,v.,brutalize
BRUTAL,brutaliznis,,,n.,brutalization
BRUTAL,brutalnis,,,n.,brutality
BUBLA,bubla,"G,S",,n.,bubble
BUBLA,bublae,,,v.,bubble
BUČ,buče,,,v.,"butcher, slaughter"
BUČ,bučer,,,n.,butcher
BUČ,"bučerija, bučhaus",,,n.,slaughterhouse
BUD,budismo,,,n.,buddhism
BUD,budist,,,n.,buddhist
BUDŽET,budžet,,,n.,budget
BUJ,buj,S,,n.,buoy
BUK,buk,G,,n.,book
BUK,buke,,,v.,book
BUK,bukerija,,,n.,bookshop
BUK,buklet,,,n.,booklet
BUK,buknis,,,n.,booking
BUKT,bukt,,,n.,bay
BUKVA,bukva,S,,n.,beech
BUL,bul,G,,n.,bull
BUL,bulfajt,,,n.,bullfight
BUL,bulfajter,,,n.,bullfighter
BUL,bulšit,,,n.,bullshit
BULA,bula,G,,n.,bull (decree)
BULB,bulb,,,n.,bulb
BULVAR,bulvar,,,n.,boulevard
BUMČAK,bumčak,,,n.,= drombnis
BUMP,bump,G,,n.,bump
BUMP,bumpe,,,v.,bump
BUMS,bums,G,,n.,"bang (vulgar or slang for sexual intercourse), fuck"
BUMS,bumse,,,v.,"bang, fuck"
BUNT,bunti,G,,adj.,colorful
BUNT,buntnis,,,n.,colorfulness; fig. variety
BURG,burg,G,,n.,castle (fortified)
BURKA,burka,,,n.,burka
BURS,burs,,,n.,exchange (organized market)
BUS,bus,,,n.,bus
BUS,busfarer,,,n.,bus driver
BUST,buste,,,v.,burn
BUST,bustkordel,,,n.,wick
BUŠ,buš,G,,n.,"bush, shrub"
BUŠ,bušnis,,,n.,brush (vegetation)
BUTAN,butan,,,n.,butane
BUTER,buter,G,,n.,butter
BUTER,butermilk,,,n.,buttermilk
BUX,bux,,,UNDEFINED,UNDEFINED
BUXA,buxa,,,UNDEFINED,UNDEFINED
CAFAT,cafat,U,,n.,"rag, shred, tatter"
CEL,cela,,,n.,cell (room; component of a battery; small group of people forming part of a larger organization)
CEL,celul,,,n.,cell (biology: basic unit of a living organism)
CEL,celulari,,,adj.,cellular
CELT,celt,G,,n.,tent
CEMENT,cement,,,n.,cement
CEMENT,cemente,,,v.,cement
CEMENT,cementnis,,,n.,cementation
CENSUR,censur,,,n.,censorship
CENTRAL,central,,,n.,"central office, headquarter"
CENTRIFUG,centrifug,,,n.,centrifuge
CEREAL,cereal,,,n.,cereal
CEREMONI,ceremonia,,,n.,ceremony
CEREMONI,ceremonial,,,n.,ceremonial
CEREMONI,ceremoniali,,,adj.,ceremonial
CERT,certi,,,adj.,"certain, sure"
CERT,certim,,,adv.,"certainly, surely; of course"
CERT,certnis,,,n.,certainty
CESE,cese,,,v.,yield
CETER,ceter-,,,pref.,"keep + verb, e. g. ceterverke keep working"
CETER,ceterabli,,,adj.,continuable
CETER,cetere,,,v.,continue
CETER,ceteri,,,adj.,further
CETER,ceterim,,,adv.,further
CETER,ceternis,,,n.,continuation
CIBUL,cibul,,,n.,onion
CID,cide,,,v.,kill
CID,cider,,,n.,killer (hired murderer)
CIGAN,cigan,,,n.,gipsy
CIGAR,cigar,,,n.,cigar
CIGAR,cigaret,,,n.,cigarette
CIGAR,cigarlet,,,n.,small cigar
CIK,cik,,,n.,tick (parasitic arachnid)
CIKLON,ciklon,,,n.,cyclone
CIL,cil,G,,n.,"goal, aim"
CIL,cile (do/kontra),,,v.,aim (at)
CILIA,cilia,,,n.,eyelash
CILINDR,cilindriki,,,adj.,cylindric
CILINDR,cilindro,,,n.,cylinder
CIMRMANOLOGIA,cimrmanologia,,,n.,cimrmanology
CINS,cins,G,,n.,interest (money charged/paid for the use of money)
CINS,cinslesi,,,adj.,interest-free
CIRKUL,cirkul,,,n.,circle
CIRKUL,cirkule,,,v.,circulate
CIRKUL,cirkulnis,,,n.,circulation
CIRKUM,cirkumfrog,,,n.,poll
CIRKUM,cirkum,,,prep.,around; brase v. embrace
CIRKUM,cirkumcize,,,v.,circumcize
CIRKUM,cirkumciznis,,,n.,circumcision
CIRKUM,cirkummeter,,,n.,perimeter
CIRKUM,cirkumnatur,,,n.,(natural) environment
CIRKUM,cirkumrunde,,,v.,surround
CIŠE,ciše,G,,v.,hiss
CIT,cit,,,n.,quote
CIT,cite,,,v.,quote
CITADEL,citadel,,,n.,citadel
CITRON,citron,,,n.,lemon
CITRON,citronbaum,,,n.,lemon tree
CIVIL,civili,,,adj.,civil
CIVIL,civilin,,,n.,civilian
CIVIL,civilizacion,,,n.,civilization
CIVIL,civilize,,,v.,civilize
CIZEL,cizel,,,n.,cisel
CORN,corn,G,,n.,"anger, wrath, rage"
CORN,corne,,,v.,"be wrathful, be/remain angry"
CORN,cornli,,,adj.,"angry, wrathful, irate"
ČADOR,čador,,,n.,chador
ČAJ,čaj,S,,n.,tea
ČAJ,čajkan,,,n.,teapot
ČAJ,čajtajm,,,n.,teatime
ČAM,čam,S,,n.,deal (wood that is easy to saw)
ČARTER,čarter,,,n.,charter
ČARTER,čartere,,,v.,charter
ČAT,čat,,,n.,chat
ČAT,čatbot,,,n.,chatbot
ČAT,čate,,,v.,chat (exchange messages in realtime)
ČAT,čatportal,,,n.,chat portal
ČEMBALO,čembalo,,,n.,harpsichord
ČERP,čerpe,S,,v.,scoop
ČESNAK,česnak,S,,n.,garlic
ČINT,čint,M,,n.,fence
ČIP,čip,,,n.,chip
ČIST,čisti,S,,adj.,clean
ČIST,čistize,,,v.,"clean, cleanse"
ČIST,čistiznis,,,n.,cleansing
ČIST,čistnis,,,n.,cleanness
ČOF,čof,M,,n.,"bow (type of knot with two loops, shoelace knot)"
ČONT,čont,U,,n.,bone
ČUDI,čudi,,,adj.,Chud
ČUŠK,čušk,U,,n.,gnat
DAJV,dajve,G,,v.,dive
DAJV,dajver,,,n.,diver
DAKI,daki,,,adj.,Dacian
DAL,dal,G,,n.,valley
DAM,dam,G,,n.,dam
DAM,dambrek,,,n.,"dam failure, damburst"
DAMA,dama,,,n.,lady
DAMA,damaeski,,,adj.,ladylike
DAMF,damf,G,,n.,"steam, vapor"
DAMF,"damfmašin, damfmotor",,,n.,steam engine
DAMF,damfskaf,,,n.,"steamship, steamboat"
DAMNE,damne,,,v.,condemn
DAMNE,damnnis,,,n.,condemnis
DANK,dank,G,,n.,thank
DANK,danke,,,v.,thank
DANK,"dankli, dankozi",,,adj.,grateful
DANK,"danklinis, dankoznis",,,n.,greatfulness
DANS,dans,,,n.,dance
DANS,danse,,,v.,dance
DANS,danser,,,n.,danser
DANS,dansgrunt,,,n.,dancefloor
DARM,darm,G,(UG=),n.,intestine (alimentary canal)
DAT,dat,,,n.,date (specific day in time)
DAT,date,,,v.,date (ascribe a date to an object)
DATA,data,,,n.,data
DATA,datal,,,n.,file (computer) (> datotek?)
DATA,datasurs,,,n.,data source
DATA,datatransfer,,,n.,data transfer
DATLA,datla,,,n.,date (fruit of the date palm)
DATLA,datlapalm,,,n.,date palm
DAUN,daun,G,,adv.,down
DAUN,daunflekte (se),,,v.,stoop
DAUN,daungrade,,,v.,downgrade
DAUN,daunkade,,,v.,fall down
DAUN,daunrupte,,,v.,tear down
DAUN,daunvers,,,adv.,downwards
DAUN,daunversli,,,adj.,downward
DAUN,up i daun,,,expr.,up and down
DAX,dax,G,,n.,badger
DAŽE,daže,S,,adv.,even
DAŽE,daže ne,,,adv.,not even
DE,de,,,prep.,of
DE,del,,,prep. + art.,of the (irregular contraction of de + di)
DEBAT,debat,,,n.,debate
DEBAT,debatabli,,,adj.,debatable
DEBAT,debate,,,v.,debate
DEBEJSI,debejsi,,,v.,should
DEBIT,debit,,,n.,debt
DEBIT,debite,,,v.,owe
DEBIT,debiter,,,n.,debtor
DEBUT,debut,,,n.,debut
DECEMBER,december,,,n.,december
DECENTI,decenti,,,adj.,decent
DECENTI,decentinis,,,n.,decency
DECIZ,decize,,,v.,decide
DECIZ,decizivi,,,adj.,decisive
DECIZ,deciznis,,,n.,decision
DEDA,deda,,,n.,toe
DEDUKT,dedukte,,,v.,deduce
DEDUKT,deduktnis,,,n.,deduction
DEFAM,defame,,,v.,defame
DEFAM,defamnis,,,n.,diffamation
DEFEKE,defeke,,,v.,defecate
DEFEKT,defekt,,,n.,"defect, damage (technical; cf. harm)"
DEFEKT,defekte,,,v.,damage
DEFEKT,defektli,,,adj.,"effective, damaged, faulty"
DEFENS,defens,,,n.,defense
DEFENS,defense,,,v.,defend
DEFENS,defenser,,,n.,defender
DEFENS,defensivi,,,adj.,defensive
DEFENS,defenslesi,,,adj.,defenseless
DEFENS,defenslesnis,,,n.,defenselessness
DEFET,defet,,,n.,defeat
DEFET,defete,,,v.,defeat
DEFET,defetismo,,,n.,defeatism
DEFINIT,definite,,,v.,define
DEFINIT,definitivi,,,adj.,definitive
DEFINIT,definitnis,,,n.,definition
DEFINIT,per definitnis,,,expr.,by definition
DEFLATE,deflate,,,v.,deflate
DEFORM,deforme,,,v.,deform
DEFORM,deformnis,,,n.,deformation
DEHABIT,dehabite,,,v.,wean (cause to quit sth. to which one is addicted etc.)
DEHED,dehede,,,v.,behead; decapitate
DEHED,dehednis,,,n.,decapitation
DEJ,dej,G,,n.,day
DEJ,dejbuk,,,n.,diary
DEJ,dejdraum,,,n.,daydream
DEJ,dejli,,,adj.,daily
DEJ,dejlim,,,adv.,daily
DEJ,dejlus,,,n.,daylight
DEJF,dejfdajver,,,n.,deep diver
DEJF,dejfi,G,,adj.,deep
DEJF,dejfkosmo,,,n.,deep space
DEJF,dejfmar,,,n.,deep sea
DEJF,"dejfnis, dejfia",,,n.,depth
DEJK,dejk,G,,n.,"dike, dyke"
DEJKT,dejkte,H,,v.,show
DEK,dek,G,,n.,deck
DEKA,deka-,,,pref.,ten
DEKAJAR,dekajar,,,n.,decade
DEKAN,dekan,,,n.,deacon
DEKATENE,dekatene,,,v.,unchain
DEKLAR,deklare,,,v.,declare
DEKLAR,deklarnis,,,n.,declaration
DEKLIN,deklinabli,,,adj.,declineable
DEKLIN,deklinacion,,,n.,declination (astron.)
DEKLIN,dekline,,,v.,declinate
DEKLIN,deklinnis,,,n.,declension (grammar)
DEKOD,dekode,,,v.,decode
DEKOD,dekoder,,,n.,decoder
DEKOD,dekodnis,,,n.,decoding
DEKOR,dekor,,,n.,decor
DEKOR,dekore,,,v.,decorate
DEKOR,dekornis,,,n.,decoration
DEKRET,dekret,,,n.,decree
DEKRET,dekrete,,,v.,decrete
DEKUVERT,dekuverte,,,v.,"discover, uncover"
DEKUVERT,dekuverter,,,n.,discoverer
DEKUVERT,dekuvertnis,,,n.,discovery
DEL,del,,,prep. + art.,of the (irregular contraction of de + di)
DELAD,delade,,,v.,discharge (cargo; electric current)
DELAD,deladnis,,,n.,discharge
DELAST,delaste,,,v.,"relieve, ease; discharge, release; exonerate, unburden"
DELAST,delastnis,,,n.,"discharge, release; exoneration"
DELEGE,delege,,,v.,delegate
DELEGE,"delegnis, delegacion",,,n.,delegation
DELFIN,delfin,,,n.,dolphin
DELICI,delicia,,,n.,delight
DELICI,deliciozi,,,adj.,delicious
DEMAGOG,demagog,,,n.,demagogue
DEMAGOG,demagogia,,,n.,demagogy
DEMAND,demand,,,n.,demand
DEMAND,demande,,,v.,"require, demand"
DEMAND,demander,,,n.,demander
DEMASKE,demaske,,,v.,unmask
DEMILKE,demilke,,,v.,milk
DEMODENI,demodeni,,,adj.,out of fashion
DEMOKRAT,demokrat,,,n.,democrat
DEMOKRAT,demokratia,,,n.,democracy
DEMOKRAT,demokratiali,,,adj.,democratic
DEMON,demon,,,n.,demon
DEMON,demonli,,,adj.,demonic
DEMP,dempe,G,,v.,"damp, muffle"
DEMUDE,demude,,,v.,discourage
DENK,denk,G,(UG=),n.,thought
DENK,denkabli,,,adj.,thinkable
DENK,denkdukter,,,n.,thought leader
DENK,denke,,,v.,think
DENK,denker,,,n.,thinker
DENK,denkfaut,,,n.,"(= maldenk) faulty reasoning, logical fallacy"
DENK,denknis,,,n.,thinking
DENK,denkstimulenti,,,adj.,thought-provoking
DENS,densi,,,adj.,dense
DENS,densnis,,,n.,density
DENT,dent,,,n.,tooth
DENT,dentbros,,,n.,toothbrush
DENT,dentgap,,,n.,toothgap
DENT,dentmedik,,,n.,dentist
DENT,dentpasta,,,n.,toothpaste
DENT,dentrot,,,n.,"gearwheel, cogwheel"
DEP,dep,G,,n.,twit
DEPAKE,depake,,,v.,unpack
DEPAR,depare,,,v.,disappear
DEPAR,deparnis,,,n.,disappearance
DEPEND,depende (od),,,v.,depend (on)
DEPEND,"dependenti, dependli",,,adj.,dependent
DEPLISE,deplise,,,v.,unfold
DEPLORABLI,deplorabli,,,adj.,deplorable
DEPORT,deporte,,,v.,deport
DEPORT,deportnis,,,n.,deportation
DEPOZIT,depozit,,,n.,deposit
DEPOZIT,depozite,,,v.,deposit
DEPROPRIZ,deproprize,,,v.,expropriate
DEPROPRIZ,depropriznis,,,n.,expropriation
DER,der e,,,expr.,there is/are
DER,der var,,,expr.,there was/were
DERFE,derfe,G,,v.,"may, be allowed to"
DES,des,,,num.,ten
DES,desti,,,adj.,tenth
DESERT,desert,,,n.,= pospred
DESISTE,desiste,,,v.,desist
DESKRIPT,deskriptabli,,,adj.,describable
DESKRIPT,deskripte,,,v.,describe
DESKRIPT,deskriptivi,,,adj.,descriptive
DESKRIPT,deskriptnis,,,n.,description
DESPEKT,despekt,,,n.,"despise, disdain, scorn"
DESPEKT,despektabli,,,adj.,despicable
DESPEKT,despekte,,,v.,"despise, scorn"
DESPER,despere,,,v.,despair
DESPER,despernis,,,n.,despair
DESPOZ,despoze,,,v.,divorce (of a marriage)
DESPOZ,despozeni,,,adj.,divorced
DESPOZ,despoznis,,,n.,divorce
DESTIN,destin,,,n.,destiny
DESTRUKT,destruktabli,,,adj.,destructable
DESTRUKT,destrukte,,,v.,destroy
DESTRUKT,destrukter,,,n.,destroyer
DESTRUKT,destruktivi,,,adj.,destructive
DESTRUKT,destruktnis,,,n.,destruction
DETAJ,detaj,,,n.,detail
DETAJ,detajli,,,adj.,detailed
DETAJ,detajozi,,,adj.,rich in detail(s)
DETEKT,detektabli,,,adj.,detectable
DETEKT,detekte,,,v.,detect
DETEKT,detektiv,,,n.,detective
DETEKT,detektor,,,n.,detector
DETENSNIS,detensnis,,,n.,détente (policy)
DETENTE,detente,,,v.,detain
DETERMIN,determinabli,,,adj.,determinable
DETERMIN,determine,,,v.,determine
DETERMIN,determinnis,,,n.,determination
DEVEL,devele,,,v.,"reveal, unveil"
DEVEL,develnis,,,n.,revelation
DEVELOP,develope,,,v.,develop
DEVELOP,developnis,,,n.,development
DEVESTE,deveste,,,v.,undress
DEZARM,dezarme,,,v.,disarm
DEZARM,dezarmnis,,,n.,disarmamanent
DEZERB,dezerbe,,,v.,disinherit
DEZERB,dezerbnis,,,n.,disinheritance
DEZERT,dezerte,,,v.,desert
DEZERT,dezerter,,,n.,deserter
DEZERT,dezertnis,,,n.,desertion
DEZINFEKT,dezinfekte,,,v.,disinfect
DEZINFEKT,dezinfektment,,,n.,disinfectant
DEZINFEKT,dezinfektnis,,,n.,disinfection
DI,di,,,art.,the
DIA,dia,,,prep.,through (a space; cf. trans)
DIABOL,diabol,,,n.,devil
DIABOL,diaboliki,,,adj.,"diabolic, devilish"
DIABORE,diabore,,,v.,"bore, drill through sth.; pierce, spear sth"
DIABREK,diabrek,,,n.,breakthrough
DIABREK,diabreke,,,v.,break through
DIADEM,diadem,,,n.,diadem
DIAGNOZ,diagnoza,,,n.,diagnosis
DIAGNOZ,diagnoze,,,v.,diagnose
DIAKADE,diakade,,,v.,fall through
DIAKON,diakon,,,n.,deacon
DIAKURSE,diakurse,,,v.,"run, go through"
DIALEKTA,dialekta,,,n.,dialect
DIALEKTA,dialektali,,,adj.,dialectal
DIALEKTIK,dialektik,,,n.,dialectic
DIALEKTIK,dialektikli,,,adj.,dialectic
DIALOG,dialog,,,n.,dialog
DIALOG,dialogli,,,adj.,dialogic
DIAMANT,diamant,,,n.,diamond
DIAMANT,diamantmina,,,n.,diamond mine
DIAMETER,diameter,,,n.,diameter
DIASNITE,diasnite,,,v.,cut through
DIAŠERŠE,diašerše,,,v.,"search (ouse person, documents etc.)"
DIAVERSE,diaverse,,,v.,"cross (through), walk through"
DIETA,dieta,,,n.,diet
DIFERENS,diferens,,,n.,difference
DIFERENS,diferense,,,v.,differentiate
DIFERENS,diferensli,,,adj.,different
DIFERENS,diferensnis,,,n.,differentiation
DIGEST,digestabli,,,adj.,digestable
DIGEST,digeste,,,v.,digest
DIGEST,digestnis,,,n.,digestion
DIKT,dikte,,,v.,say
DIKTATOR,diktator,,,n.,dictator
DIKTATOR,diktatoria,,,n.,dictatorship
DIL,dil,,,n.,dill
DILEMA,dilema,,,n.,dilemma
DILUVIA,diluvia,,,n.,deluge
DILUVIA,diluviali,,,adj.,diluvial
DINAMIK,dinamik,,,n.,dynamics
DINAMIK,dinamikli,,,adj.,dynamic
DINAMIT,dinamit,,,n.,dynamite
DINAMO,dinamo,,,n.,dynamo
DINASTIA,dinastia,,,n.,dynasty
DINASTIA,dinastiali,,,adj.,dynastic
DINOSAURO,dinosauro,,,n.,dinosaur
DINSDAG,dinsdag,G,,n.,Tuesday
DINX,dinx,G,,n.,thingamajig (sth. that one does not know the name of)
DIOD,diod,,,n.,diode
DIPLOM,diplom,,,n.,diploma
DIPLOM,diplomat,,,n.,diplomat
DIPLOM,diplomatia,,,n.,diplomacy
DIPLOM,diplomatiali,,,adj.,diplomatic
DIR,dir,C,,n.,steel
DIR,dirfabrik,,,n.,steelworks
DIR,dirli,,,adj.,steel (relational)
DIR,dirproduktnis,,,n.,steel production
DIREKCION,direkcion,,,n.,direction (indication of the point toward which an object is moving) (> smer?)
DIREKT,direkti,,,adj.,direct
DIREKT,direktnis,,,n.,directness
DIREKT,direktor,,,n.,director
DIRIGE,dirige,,,v.,direct
DIRIGE,diriger,,,n.,helmsman
DISBATE,disbate,,,v.,UNDEFINED
DISBREKE,disbreke,,,v.,break apart
DISCIPLIN,disciplin,,,n.,discipline
DISCIPLIN,discipline,,,v.,discipline
DISČAR,disčare,,,v.,disappoint
DISČAR,disčarenti,,,adj.,disappointing
DISČAR,disčarnis,,,n.,disappointment
DISK,disk,,,n.,disc
DISK,diskdžokej,,,n.,discjockey
DISK,diskotek,,,n.,discotheque
DISKURS,diskurs,,,n.,discourse
DISKUS,diskusabli,,,adj.,discussable
DISKUS,diskuse,,,v.,discuss
DISKUS,diskusnis,,,n.,discussion
DISPERSE,disperse,,,v.,UNDEFINED
DISPOZ,dispozabli,,,adj.,disposable
DISPOZ,dispoze,,,v.,dispose
DISPOZ,dispoznis,,,n.,disposal
DISPUT,disput,,,n.,dispute
DISPUT,disputabli,,,adj.,disputable
DISPUT,dispute,,,v.,dispute
DISSOLV,dissolve,,,v.,dissolve
DISSOLV,dissolvnis,,,n.,dissolution
DISTEL,distel,G,,n.,thistle
DISTINT,distintabli,,,adj.,distinguishable
DISTINT,distinte,,,v.,distinguish
DISTINT,distintnis,,,n.,distinction
DISTORS,distorse,,,v.,distort
DISTORS,distorsnis,,,n.,distortion
DISTRAKT,distrakte,,,v.,distract
DISTRAKT,distraktnis,,,n.,distraction
DISTRIBUT,distributabli,,,adj.,distributable
DISTRIBUT,distribute,,,v.,distribute
DISTRIBUT,distributer,,,n.,distributor
DISTRIBUT,distributnis,,,n.,distribution
DISTRIKT,distrikt,,,n.,district
DIVERG,diverge,,,v.,diverge
DIVERG,divergenti,,,adj.,divergent
DIVERG,divergnis,,,n.,divergence
DIVERS,diversi,,,adj.,"diverse, various"
DIVERS,diversnis,,,n.,diversity
DIVIZ,divizabli,,,adj.,divisible
DIVIZ,divize,,,v.,divide
DIVIZ,diviznis,,,n.,division
DIZAJN,dizajn,,,n.,design
DIZAJN,dizajne,,,v.,design
DIZAJN,dizajner,,,n.,designer
DJATEL,djatel,S,,n.,woodpecker
DJOS,Djos,,,n.,God
DJOS,djos,,,n.,god
DJOS,djosa,,,n.,goddess
DJOS,djosli,,,adj.,divine
DJOS,djoslinis,,,n.,divinity
DJOS,djosnis,,,n.,deity
DJOS,djoso,,,n.,(male) god
DO,do,S,,prep.,to
DOGA,doga,,,n.,"stave (narrow strip, a part of a vessel)"
DOGMA,dogma,,,n.,dogma
DOGMA,dogmali,,,adj.,dogmatic
DOK,dok,,,n.,dock
DOKTOR,doktor,,,n.,doctor (academic degree; cf. medik)
DOKTRIN,doktrin,,,n.,doctrine
DOKUMENT,dokument,,,n.,document
DOKUMENT,dokumentabli,,,adj.,documentable
DOKUMENT,dokumente,,,v.,document
DOKUMENT,dokumentnis,,,n.,documentation
DOL,dol,,,n.,"grief, mourning"
DOL,dole,,,v.,"grieve, mourn"
DOLAR,dolar,,,n.,dollar
DOLK,dolk,G,,n.,dagger
DOLMEČ,dolmeče,,,v.,interprete (translate orally)
DOLMEČ,dolmečer,,,n.,interpreter
DOMB,domb,U,,n.,hill
DOMICIL,domicil,,,UNDEFINED,UNDEFINED
DOMIN,domine,,,UNDEFINED,UNDEFINED
DOMT,domte,,,v.,tame
DON,don,,,n.,gift
DONAT,donate,,,v.,donate
DONAT,donatnis,,,n.,donation (> donat?)
DONE,done,,,v.,give
DONE,donivi,,,adj.,generous
DONE,donivnis,,,n.,generosity
DONE,donofilia,,,n.,generosity
DOP,dope,,,v.,dope
DOP,dopnis,,,n.,doping
DOPAMIN,dopamin,,,n.,dopamine
DOR,dor,G,,n.,door
DOR,dorsilm,,,n.,spyhole
DORF,dorf,G,(UG=),n.,village
DORF,dorflet,,,n.,hamlet
DORM,dorm,,,n.,sleep
DORM,dormard,,,n.,sleepyhead
DORM,dorme,,,v.,sleep
